country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-11-23
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-11-24
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-11-25
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-11-26
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-11-27
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-11-28
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-11-29
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-11-30
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-12-01
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-12-02
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-12-03
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-12-04
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-12-05
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-12-06
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-12-07
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-12-08
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-12-09
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-12-10
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-12-11
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-12-12
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-12-13
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-12-14
South Sudan,1,,12.0,-3.3,13.0,,,,10.91,2023-12-15
